Vessel;code;Genus;lat;lon;season;depth;swept_area_km2;N;N_km2;presence_absence;date;date_time;bathy;substrate;slope;roughness;fishingEffort;distCanyons;distMounts;distFans;bottom_temp;bottom_oxygen;bottom_nppv;bottom_ph;bottom_nh4;bottom_no3;bottom_po4;bottom_so;bottom_uo;bottom_vo;bottom_eke;SD_bottomT;SD_o2;SubAll;bioSubsFinal;ln_slope;ln_fishingEffort;Haul_N;RN;id;fold;ln_N_km2;ln_N;BioSubs;SA_offset
ESP000022116;20210330_64410_ESP000022116_02;Raja;41,5009619;3,056854762;1;402,3;0,07898236;0;0;0;30/03/2020;NA;420,2797284;1;2,275470801;115;265,5956443;4,627649307;360,2208862;31,06563568;13,4740696;243,6092072;-0,538140178;8,119576454;0,232451379;2,277055025;0,109947339;38,22175598;-0,014439895;-0,009190107;0,000146484;0,253268093;7,70418644;7;1;1,186461615;5,58573307;101;75;101;5;0;0;1;NA
VG;21_10_06_CRT_VG_L1;Raja;37,5985295;-0,3990365;4;529,6;0,42928434;0;0;0;06/10/2020;NA;670,0075309;2;5,101465845;66;270,7620024;8,692785263;32,39256287;184,7678833;13,61770248;219,1426239;-4,56E-05;8,085305214;0,002259509;5,156933784;0,259286523;38,62511063;-0,00463434;-0,017968534;0,000172173;0,051393759;1,249400973;9;2;1,808529045;5,604926692;174;6;174;2;0;0;2;-0,845635782
ESP000000782;20210630_64100_ESP000000782_03;Raja;41,01664524;1,832242857;2;570,9;0,18706207;0;0;0;30/06/2020;NA;573,7183654;1;3,67170447;54;288,9542221;4,62724638;412,0633545;34,84710312;13,35934353;222,8591766;-4,18E-05;8,08464241;0,030412808;4,736868382;0,239157945;38,58354187;0,000629132;-0,010729475;5,78E-05;0,061191682;1,163002372;6;1;1,541523988;5,669723056;126;58;126;4;0;0;1;NA
ESP000000782;20200916_64100_ESP000000782_02;Raja;41,04376667;1,820888889;3;369,8;0,320427;2;6,242;1;16/09/2020;NA;573,7183654;1;3,67170447;62;288,9542221;3,502319098;416,318512;34,84710312;13,53092957;221,4234314;-6,02E-06;8,084119797;0,012349441;4,981479168;0,250391454;38,61638641;-0,001032074;0,006622634;2,25E-05;0,087485038;1,916760921;6;1;1,541523988;5,669723056;44;69;44;5;1,979897411;1,098612289;1;-1,138100798
ESP000026756;20200805_64500_ESP000026756_03;Raja;41,8888;3,32532381;3;493,7;0,34479784;0;0;0;05/08/2020;NA;331,2358025;1;4,373295259;211;311,56822;0;321,0592041;64,78803253;13,33617687;229,5618896;-7,24E-05;8,099076271;0,099643566;3,960059643;0,20435138;38,52443314;-0,010558533;-0,008429974;9,13E-05;0,20249413;5,990460396;10;1;1,681441363;5,744822749;32;61;32;1;0;0;1;NA
ESP000026756;20201111_64500_ESP000026756_03;Raja;41,88947619;3,325540476;4;472,2;0,35823584;0;0;0;11/11/2020;NA;331,2358025;1;4,373295259;211;311,56822;0;321,0592041;64,78803253;13,51848316;224,6596375;-0,000114593;8,092921257;0,084596157;4,366521358;0,224520415;38,55771255;-0,007003173;0,005482092;3,95E-05;0,20249413;5,990460396;10;1;1,681441363;5,744822749;56;2;56;2;0;0;1;NA
ESP000026569;20210113_64300_ESP000026569_03;Raja;41,34589762;2,61087381;1;484,6;0,18603693;0;0;0;13/01/2020;NA;461,2422617;1;3,249855005;135;312,6324497;0;402,4629517;37,01931381;13,63361549;222,5991974;-0,000104064;8,088681221;0,100760356;4,510619164;0,233393461;38,56338882;-0,00363989;0,002062643;8,75E-06;0,133522585;2,922666073;10;1;1,446884866;5,748221758;78;35;78;3;0;0;1;NA
ESP000026756;20210527_64500_ESP000026756_01;Raja;41,81374524;3,257771429;2;127;0,14495275;0;0;0;27/05/2020;NA;134,6256198;1;1,878232977;3;375,1976869;4,62791872;328,5764465;55,53219604;13,58859634;236,4347839;-0,030014327;8,115592003;0,419573784;2,777643204;0,15158686;38,24251938;-0,009669034;-0,008060954;7,92E-05;0,735403657;8,079723358;6;1;1,057176556;5,930114768;118;29;118;3;0;0;1;NA
ESP000025837;20200813_63210_ESP000025837_01;Raja;40,79321667;0,860666667;3;24,3;0,2436298;0;0;0;13/08/2020;NA;38,82305185;1;0,33599684;9;520,7659804;56,24863815;365,1661987;78,56608582;17,61883354;248,6630249;3,902832747;8,073451042;0,301496893;0,690179408;0,021974353;38,09777451;-0,001172265;-0,000804598;1,01E-06;2,143331289;5,827777863;7;1;0,28967771;6,257219174;33;85;33;2;0;0;1;NA
ESP000025837;20201112_63210_ESP000025837_01;Raja;40,79373611;0,876719444;4;34,3;0,18526352;0;0;0;12/11/2020;NA;38,82305185;1;0,33599684;15;520,7659804;52,73311234;365,9345093;78,56608582;18,36055756;231,5578461;0,18619132;8,086903572;0,262870848;2,270933867;0,042217441;38,06108093;-0,012264583;0,004615041;8,59E-05;2,143331289;5,827777863;6;1;0,28967771;6,257219174;58;84;58;4;0;0;1;NA
ESP000025837;20210218_63210_ESP000025837_01;Raja;40,79897667;0,857816667;1;23,5;0,16526352;0;0;0;18/02/2020;NA;38,82305185;1;0,33599684;12;520,7659804;56,24863815;365,1661987;78,56608582;13,5141573;250,7786255;-1,063102722;8,139705658;0,712947071;3,749403715;0,11778862;38,03263855;-0,010828041;0,001927782;6,05E-05;2,143331289;5,827777863;7;1;0,28967771;6,257219174;85;80;85;1;0;0;1;NA
ESP000026632;20200618_63100_ESP000026632_01;Raja;40,50125667;0,717686667;2;28,6;0,10930733;0;0;0;18/06/2020;NA;21,72719012;1;0,18969522;3;536,4560054;53,71609497;331,2868347;79,86519623;19,21296692;245,4383087;5,354637623;8,057621002;0,4133766;0,703471422;0,015999606;37,94803619;0,000516537;0,008464956;3,60E-05;3,647481918;10,38238525;6;1;0,173697156;6,286846906;7;53;7;5;0;0;1;NA
ESP000026632;20201222_63100_ESP000026632_01;Raja;40,49980556;0,697058333;4;27,4;0,09571823;0;0;0;22/12/2020;NA;21,72719012;1;0,18969522;3;536,4560054;53,73877335;326,0516663;74,48884583;15,15491676;241,2745056;-0,663340151;8,135835648;0,335398465;1,966822982;0,031842403;37,7938118;-0,003798039;-0,025954749;0,000344037;2,32295084;5,688053131;7;1;0,173697156;6,286846906;73;85;73;2;0;0;1;NA
ESP000026632;20200916_63100_ESP000026632_01;Raja;40,498775;0,716227778;3;29,1;0,10930733;0;0;0;16/09/2020;NA;21,72719012;1;0,18969522;4;548,7813779;51,22916412;326,756958;74,48884583;22,19565582;241,2107239;2,754215717;8,012212753;0,201174572;0,643120706;0,009065153;38,04374313;-0,005774382;0,015191535;0,000132063;2,32295084;5,688053131;6;1;0,173697156;6,309520704;40;36;40;4;0;0;1;NA
ESP000026632;20210311_63100_ESP000026632_01;Raja;40,48587333;0,698903333;1;31,2;0,09571823;0;0;0;11/03/2020;NA;36,36672593;1;0,186488487;6;548,7813779;53,73877335;326,0516663;74,48884583;13,59051704;253,3634186;-0,576326191;8,137876511;0,445640266;1,481869698;0,040972203;38,03429794;-0,009791566;0,006560838;6,95E-05;2,32295084;5,688053131;6;1;0,170998094;6,309520704;88;76;88;3;0;0;1;NA
